id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
6465,"Op 34, N. 2: ""Auf Flügeln des Gesanges""",Victoria de los Ángeles,classical,melancholic,0.11,138,0.15,0.37,0.98
6466,A Recurring Theme,Cyril Mathews,classical,melancholic,0.01,142,0.04,0.4,0.99
6467,Vesuvio,Anila Mirela,classical,melancholic,0.13,119,0.19,0.83,0.93
6468,Struck By Clouds,Ivan Bielsa,classical,melancholic,0.03,114,0.12,0.65,0.96
6469,Hasta Luego,Cuco Sánchez,classical,chill,0.12,94,0.4,0.55,0.49
6470,Stigma,Smyang Piano;Bibimbeats,classical,melancholic,0.1,129,0.09,0.69,0.92
6471,Wehiwehi 'Oe,Barney Isaacs;George Kuo,classical,melancholic,0.12,73,0.09,0.47,0.88
6472,Finan's Isle Suite: Finan's Isle,Mairead Nesbitt,classical,melancholic,0.27,149,0.21,0.19,0.58
6473,Zakochany,Aleksy Wysocki,classical,melancholic,0.09,65,0.22,0.34,1.0
6474,Breathe Out,Marika Takeuchi,classical,chill,0.28,163,0.55,0.43,0.98
6475,Milano,Henrik Janson,classical,chill,0.2,119,0.38,0.73,0.94
6476,All the Same,William Cas,classical,melancholic,0.02,74,0.13,0.46,0.98
6477,"All I Ask of You (from ""The Phantom of the Opera"") [with Kelly Clarkson]",Josh Groban;Kelly Clarkson,classical,melancholic,0.27,90,0.19,0.22,0.91
6478,Vuelve,William Luna,classical,chill,0.57,145,0.36,0.56,0.62
6479,Clarity,Piano Peace,classical,melancholic,0.01,119,0.08,0.53,0.99
6480,Shukalambharadharam,M. Balamuralikrishna,classical,chill,0.33,75,0.36,0.36,0.86
6481,Varadero,Little Symphony,classical,melancholic,0.0,81,0.04,0.07,0.98
6482,Hold Me Closer - Purple Disco Machine Remix,Elton John;Britney Spears;Purple Disco Machine,classical,happy,0.84,125,0.78,0.69,0.05
6483,Arcticgrey,The Masked Pianoman,classical,sad,0.0,75,0.27,0.41,0.99
6484,I Will Return,Skylar Grey,classical,moody,0.65,124,0.06,0.53,0.17
6485,Mad World - Classical Guitar Version,Liad Abraham,classical,sad,0.3,97,0.28,0.43,0.95
6486,"Berceuse in D flat, Op. 57",Frédéric Chopin;Daniel Barenboim,classical,melancholic,0.06,126,0.17,0.3,0.98
6487,"Nocturne In C-Sharp Minor, Op. Posth.",Frédéric Chopin;Dang Thai Son,classical,melancholic,0.03,73,0.21,0.21,0.99
6488,West Side Story: XIII. Scherzo,Leonard Bernstein,classical,melancholic,0.03,157,0.16,0.43,0.81
6489,Hi'ilawe,Cindy Combs,classical,chill,0.31,134,0.67,0.36,0.91
6490,Ride of the Valkyries,Richard Wagner;London Symphony Orchestra;Yondani Butt,classical,melancholic,0.23,101,0.07,0.23,0.94
6491,"Nabucco / Act II: Vieni, o Levita!",Giuseppe Verdi;Yevgeny Nesterenko;Orchester der Deutschen Oper Berlin;Giuseppe Sinopoli,classical,melancholic,0.05,162,0.09,0.23,0.96
6492,"Liederkreis, Op. 39: 5. Mondnacht (Arr. Clara Schumann for Piano)",Robert Schumann;Isata Kanneh-Mason,classical,melancholic,0.0,68,0.07,0.4,0.99
6493,We were the hook,Lupe Sinsonte,classical,melancholic,0.03,98,0.11,0.43,0.99
6494,Isaiyaai Thamizhaai,Sirkazhi Govindarajan,classical,happy,0.64,106,0.95,0.5,0.91
6495,Easy,Brittni Paiva,classical,chill,0.51,140,0.44,0.63,0.95
6496,Kabhi Khushi Kabhie Gham,Kris Bowers,classical,chill,0.06,95,0.42,0.45,0.62
6497,Changing Colours,Josh Groban,classical,sad,0.38,136,0.23,0.41,0.69
6498,"La bohème, SC 67 / Act 3: ""Mimì! - Speravo di trovarvi qui""",Giacomo Puccini;Rolando Panerai;Mirella Freni;Berliner Philharmoniker;Herbert von Karajan,classical,melancholic,0.19,77,0.08,0.24,0.97
6499,"Contredanse in G, K.610 ""Les filles malicieuses""",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,chill,0.11,114,0.41,0.54,0.99
6500,Your Song,Elton John,classical,sad,0.33,128,0.29,0.55,0.78
6501,Ao Clarear,Dieter Huber,classical,sad,0.16,93,0.29,0.51,0.96
6502,Dime Quien,Los Apus,classical,focused,0.64,96,0.51,0.62,0.76
6503,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Wiener Philharmoniker;Claudio Abbado,classical,chill,0.2,77,0.59,0.36,0.9
6504,Mattinata,Ruggero Leoncavallo;Andrea Bocelli;London Symphony Orchestra;Lorin Maazel,classical,sad,0.4,133,0.27,0.29,0.94
6505,Sally’s Blues,Vince Guaraldi,classical,chill,0.37,143,0.57,0.62,0.91
6506,Cavalleria Rusticana - Duetto Santuzza Turiddu,Pietro Mascagni;Vincenzo Ciliberti,classical,melancholic,0.32,168,0.08,0.16,0.95
6507,"Violin Sonata in D Major, Op. 137 No. 1, D. 384: I. Allegro molto",Franz Schubert;Kanako Yanagida;Kentaro Ifuku,classical,chill,0.17,120,0.42,0.41,0.99
6508,Piano Sonata D. 960 in B-Flat Major: IV. Allegro ma non troppo,Franz Schubert;Burak Çebi,classical,melancholic,0.1,70,0.16,0.38,0.99
6509,Speechless (From ''Aladdin'') [Instrumental Guitar],Guus Dielissen,classical,sad,0.2,133,0.28,0.38,0.9
6510,Que Me Importa a Mí,Los Apus,classical,happy,0.83,100,0.86,0.71,0.45
6511,Kleiner Singvogel,Valencia Torres,classical,chill,0.1,118,0.38,0.65,0.99
6512,"Verdi: Aida, Act 2: ""Gloria all'Egitto, ad Iside"" (Coro)","Giuseppe Verdi;Riccardo Muti;Chorus of the Royal Opera House, Covent Garden;Trumpeters of the Royal Military School of Music;New Philharmonia Orchestra",classical,melancholic,0.28,92,0.22,0.26,0.98
6513,'O Surdato 'nnamorato,Luciano Pavarotti;The Corrs,classical,focused,0.69,122,0.42,0.4,0.78
6514,Skandha Sashti Kavacham,Soolamangalam Sisters,classical,relaxed,0.35,117,0.71,0.68,0.84
6515,A Day In The Life,Wes Montgomery,classical,sad,0.36,98,0.35,0.48,0.56
6516,"9 Variations on ‘Lison dormait’ from ‘Julie’ by N. Dezède in C, K.264: 1. Theme : Andante",Wolfgang Amadeus Mozart;Danielle Laval,classical,sad,0.11,120,0.28,0.55,0.99
6517,Esperame en el cielo,Los Tecolines,classical,chill,0.33,103,0.49,0.71,0.92
6518,Lei O Pi'ilani,Kuana Torres Kahele,classical,melancholic,0.3,75,0.24,0.49,0.71
6519,The Arts and the Hours,Jean-Philippe Rameau;Víkingur Ólafsson,classical,sad,0.03,136,0.27,0.41,0.99
6520,"Violin Sonata in D Major, Op. 137 No. 1, D. 384: II. Andante",Franz Schubert;Kanako Yanagida;Kentaro Ifuku,classical,sad,0.12,109,0.26,0.38,0.99
6521,"Spinnerlied aus dem Fliegenden Holländer, S. 440 (After Wagner's WWV 63)",Franz Liszt;Una Bourne,classical,melancholic,0.28,122,0.18,0.31,0.97
6522,Fury Of The Storm,DragonForce,classical,angry,0.91,199,0.2,0.23,0.0
6523,Se ilden lyse,Sissel,classical,moody,0.77,88,0.34,0.38,0.33
6524,"Rigoletto - Si, Vendetta, Tremenda Vendetta",Piero Cappuccilli;Margherita Rinaldi,classical,chill,0.34,77,0.35,0.4,0.99
6525,Non Farmi Aspettare,Il Volo,classical,sad,0.47,141,0.13,0.33,0.71
6526,The Skye Boat Song,Joseph Sullinger,classical,melancholic,0.05,84,0.21,0.52,0.98
6527,Ku'u Kīkā Kahiko (My Old Guitar),Ozzie Kotani,classical,melancholic,0.27,136,0.1,0.57,0.93
6528,"Mazhai - From ""Kaalidas""",Sudha Ragunathan,classical,chill,0.57,94,0.43,0.41,0.39
6529,"Scenes From an Italian Restaurant - Live at Yankee Stadium, Bronx, NY - June 1990",Billy Joel,classical,intense,0.9,102,0.21,0.32,0.55
6530,"Sonate, Op. 5: I. Adagio",Arcangelo Corelli;Cet étrange éclat,classical,melancholic,0.05,96,0.12,0.13,0.65
6531,Seven Drunken Nights,Celtic Thunder,classical,moody,0.71,124,0.35,0.46,0.78
6532,"Carnaval, Op. 9: No. 5, Eusebius (Live in Japan, 2022)",Robert Schumann;Pavel Nersessian,classical,melancholic,0.03,109,0.06,0.37,0.99
6533,Con Te Partiro,Jorge Castro,classical,sad,0.46,135,0.34,0.27,0.82
6534,I Eleftheri Ki Orei / An Iparhi Logos - Live,George Dalaras;Christos Mastoras,classical,moody,0.77,98,0.3,0.59,0.34
6535,"Norma / Act 1 Scene 1: ""Casta Diva"" (Critical Ed. Maurizio Biondi and Riccardo Minasi)",Vincenzo Bellini;Cecilia Bartoli;International Chamber Vocalists;Orchestra La Scintilla;Giovanni Antonini,classical,melancholic,0.09,175,0.04,0.21,0.99
6536,"Pavane in F-Sharp Minor, Op. 50 (Arr. B. Philips for Orchestra) [Live]",Gabriel Fauré;Cabin John Middle School Advanced Orchestra;Scott Herman,classical,melancholic,0.13,142,0.2,0.17,0.77
6537,Notte Stellata (The Swan) - Live From The Detroit Opera House,Il Volo,classical,melancholic,0.23,135,0.09,0.2,0.94
6538,La Rosa Roja,Kiko Revatta,classical,relaxed,0.57,78,0.8,0.55,0.62
6539,Parla piu piano (Thème du Parrain),Roberto Alagna;Yvan Cassar;Paris Symphony Orchestra,classical,sad,0.43,136,0.23,0.33,0.94
6540,"Divertimento No. 11 in D, K.251 ""Nannerl-Septett"": 4b. Menuetto (Tema con variazioni): Var. I",Wolfgang Amadeus Mozart;Heinz Holliger;Hermann Baumann;Michel Gasciarrino;Henk Guldemond;Orlando Quartet,classical,chill,0.17,116,0.59,0.67,0.87
6541,Bésame Mucho,Filippa Giordano,classical,sad,0.49,96,0.31,0.39,0.64
6542,"Parsifal, WWV 111 - Concert version / Act 3: Good Friday Spell",Richard Wagner;Bavarian Radio Symphony Orchestra;Eugen Jochum,classical,melancholic,0.02,141,0.03,0.14,0.96
6543,Canción Mixteca - Qué Lejos Estoy,Cuco Sánchez,classical,melancholic,0.12,133,0.19,0.46,0.93
6544,"12 Variations on an Allegretto in B Flat, K.500: 8. Variation VII",Wolfgang Amadeus Mozart;Danielle Laval,classical,chill,0.06,125,0.35,0.6,0.99
6545,Estrellita,Gilberto Puente,classical,sad,0.23,100,0.3,0.61,0.94
6546,Esquece e Vem,Nico Rezende;Ive Greice,classical,sad,0.38,80,0.23,0.62,0.48
6547,Continuum,Javi Lobe;Second Light,classical,melancholic,0.21,74,0.12,0.25,0.97
6548,"Sonata No. 8 C Major: ""Pathétique""",Henrik Janson,classical,sad,0.09,128,0.26,0.74,0.98
6549,"Das Lied von der Erde: No. 2, Der Einsame im Herbst",Gustav Mahler;Sir Simon Rattle;Peter Seiffert;Thomas Hampson;City Of Birmingham Symphony Orchestra,classical,melancholic,0.03,94,0.04,0.15,0.98
6550,Never Too Late,Elton John,classical,confident,0.97,123,0.65,0.66,0.01
6551,"The Fairy Queen, Z. 629: See, even Night herself is here",Henry Purcell;Eugénie Lefebvre;Ensemble Leviathan;Lucile Tessier,classical,melancholic,0.03,172,0.07,0.09,0.99
6552,The Queen's Prayer,"George Kahumoku, Jr.",classical,sad,0.35,148,0.04,0.44,0.9
6553,Smells Like Teen Spirit - Acoustic Version,Tori Amos,classical,melancholic,0.26,177,0.2,0.25,0.93
6554,Watermelon Sugar,Ingrid Olsson,classical,melancholic,0.02,74,0.15,0.44,0.99
6555,Favela,Antônio Carlos Jobim,classical,chill,0.22,80,0.48,0.46,0.71
6556,"Turandot, SC 91 / Act III: ""Nessun dorma!""",Giacomo Puccini;Luciano Pavarotti;John Alldis Choir;Wandsworth School Boys Choir;London Philharmonic Orchestra;Zubin Mehta,classical,melancholic,0.3,84,0.08,0.21,0.96
6557,О'кей,Dimash Qudaibergen,classical,moody,0.65,123,0.18,0.62,0.47
6558,Fue un Placer Conocerte,Chamin Madero,classical,chill,0.48,175,0.38,0.68,0.51
6559,Nànnuflày,Tinariwen;Kurt Vile;Mark Lanegan,classical,sad,0.48,118,0.3,0.6,0.85
6560,Carmen Suite No. 1 (Arr. E. Guiraud): IV. Séguedille,Georges Bizet;Orquestra Simfònica de Barcelona i Nacional de Catalunya;Pablo González,classical,melancholic,0.01,176,0.18,0.25,0.95
6561,Sad Song (feat. Elena Coats),We The Kings;Elena Coates,classical,sad,0.53,85,0.25,0.51,0.07
6562,Jocelyn Flores - Acoustic Guitar,Celestial Conscience,classical,sad,0.12,135,0.34,0.71,0.9
6563,L'immensità - 2015 Version,Il Volo,classical,sad,0.57,66,0.05,0.12,0.11
6564,La traviata / Act I: Prelude,Giuseppe Verdi;Wiener Philharmoniker;Carlo Rizzi,classical,melancholic,0.02,126,0.06,0.29,0.92
6565,"The Blue Danube, Op. 314",André Rieu;Johann Strauss Orchestra,classical,melancholic,0.16,96,0.12,0.27,0.92
6566,"Les Contes d'Hoffmann / Act III: Barcarolle (Arr. for Violin, Cello, Piano and String Ensemble by Aleksandar Sedlar)",Jacques Offenbach;Nemanja Radulović;Camille Thomas;Double Sens,classical,melancholic,0.03,167,0.05,0.11,0.97
6567,"Verdi: Aida, Act 1: ""I sacri nomi di padre, d'amante"" (Aida)",Giuseppe Verdi;Riccardo Muti;Montserrat Caballé;New Philharmonia Orchestra,classical,melancholic,0.08,80,0.06,0.24,0.98
6568,Det skal nok gå,Alida Sørby,classical,chill,0.09,87,0.43,0.42,0.99
6569,Because We Believe,Andrea Bocelli;Marco Borsato,classical,sad,0.46,168,0.13,0.23,0.48
6570,We’ve Got Tonight,Michael Ball;Amy Wadge,classical,melancholic,0.24,66,0.2,0.4,0.81
6571,Guitarras Lloren Guitarras,Antonio Bribiesca,classical,chill,0.3,129,0.5,0.81,0.9
6572,Sempiternal,Miriam Raye,classical,chill,0.07,123,0.49,0.49,0.99
6573,Il Mondo,Il Volo,classical,sad,0.5,75,0.22,0.28,0.81
6574,Danny Boy - 2013 Version,Celtic Woman,classical,melancholic,0.08,171,0.21,0.22,0.98
6575,"Raiders March (From ""Raiders of the Lost Ark"") [Live]",John Williams;Byron Nelson High School Symphony Orchestra;Gary Keller,classical,sad,0.23,121,0.3,0.42,0.87
6576,Sous Le Ciel De Paris,Jacky Terrasson,classical,melancholic,0.12,77,0.08,0.36,0.18
6577,Kids - Seeb Remix,OneRepublic;Seeb,classical,confident,0.85,102,0.44,0.63,0.13
6578,La Que Sea,Cuco Sánchez,classical,chill,0.11,141,0.41,0.55,0.92
6579,Christmastide,Tori Amos,classical,sad,0.38,115,0.28,0.67,0.83
6580,Sri Venkatesa Suprabhatam - Language: Tamil,Priya Sisters,classical,dreamy,0.29,101,0.81,0.57,0.81
6581,"Love Theme (from ""Romeo and Juliet"")",André Rieu,classical,melancholic,0.22,75,0.08,0.24,0.83
6582,Sanoe,Maunalua,classical,chill,0.32,81,0.35,0.47,0.83
6583,Rosa Flor,Baden Powell;Jimmy Pratt,classical,relaxed,0.58,100,0.89,0.52,0.06
6584,Romance D'Amour,Henrik Janson,classical,melancholic,0.21,102,0.19,0.88,0.92
6585,"12 Variations on an Allegretto in B Flat, K.500: 6. Variation V",Wolfgang Amadeus Mozart;Danielle Laval,classical,melancholic,0.02,89,0.19,0.64,0.99
6586,Won't Stop,OneRepublic,classical,sad,0.57,91,0.3,0.38,0.38
6587,Hawaiian Soul,Danny Carvalho,classical,sad,0.33,175,0.3,0.35,0.9
6588,Samson,Regina Spektor,classical,melancholic,0.19,89,0.18,0.49,0.86
6589,If I Could Fly,Joe Satriani,classical,confident,0.95,129,0.36,0.55,0.0
6590,Wish I Had An Angel,Nightwish,classical,confident,0.94,79,0.58,0.44,0.0
6591,Someday,OneRepublic,classical,moody,0.68,121,0.21,0.58,0.03
6592,Mulberry and Chicory,Steve Pulvers,classical,chill,0.18,140,0.38,0.79,0.86
6593,Largo Rv. 443 For Guitar,Marcel Depuis,classical,sad,0.1,132,0.33,0.8,0.95
6594,Koka kintucha,Manuelcha Prado,classical,chill,0.58,99,0.62,0.44,0.21
6595,Zamba Triste - Instrumental,Luis Salinas,classical,sad,0.24,134,0.28,0.6,0.74
6596,Je M’arrêterai Pas De T’aimer,Lara Fabian,classical,sad,0.29,79,0.26,0.3,0.92
6597,"Carmen, Act III, No.19 bis Récit: Reposons nous une heure ici mes camarades (Le Dancaïro)",Georges Bizet;Nicolas Cavallier;Michel Plasson;Wolff;Orchestre National Du Capitole De Toulouse,classical,melancholic,0.03,98,0.22,0.46,0.96
6598,"Les petits riens, K.app.10 (ballet): No. 11 Larghetto",Wolfgang Amadeus Mozart;Concerto Köln;Anton Steck,classical,melancholic,0.01,85,0.25,0.42,0.98
6599,"Peer Gynt Suite No. 1, Op. 46: 4. In The Hall Of The Mountain King",Edvard Grieg;Gothenburg Symphony Orchestra;Neeme Järvi,classical,melancholic,0.04,94,0.2,0.41,0.93
6600,Sad Song (Rj Remix) [feat. Olivia Holt],We The Kings;Olivia Holt,classical,happy,0.84,99,0.77,0.58,0.07
6601,Stotra - Bhawani Shankarau Vande,Veena Sahasrabuddhe,classical,sad,0.37,136,0.27,0.26,0.95
6602,Duerme,Little Symphony,classical,melancholic,0.19,135,0.04,0.15,0.92
6603,Adiós Pueblo De Ayacucho,Trio Ayacucho,classical,relaxed,0.57,172,0.78,0.72,0.74
6604,When You Wish Upon a Star,Susan Boyle,classical,melancholic,0.3,140,0.08,0.17,0.86
6605,Aquellos Ojos Verdes,José Carreras,classical,melancholic,0.23,113,0.13,0.28,0.99
6606,"Nabucco: Va, pensiero, sull'ali dorate - Edit",Giuseppe Verdi;Chicago Symphony Chorus;Chicago Symphony Orchestra;Sir Georg Solti,classical,melancholic,0.04,138,0.07,0.15,0.99
6607,Minha Saudade,João Gilberto,classical,relaxed,0.43,105,0.81,0.58,0.77
6608,Javert's Soliloquy - Live,Michael Ball,classical,sad,0.45,81,0.21,0.45,0.69
6609,Light in the Mist,Anna Landström,classical,sad,0.01,141,0.32,0.31,0.98
6610,"7 Variations on ""Willem van Nassau"" in D, K.25: 1. Theme: Allegro",Wolfgang Amadeus Mozart;Danielle Laval,classical,dreamy,0.05,118,0.78,0.53,0.99
6611,"Ernani / Part 4: ""Solingo, errante misero"" - Live In New York / 1981",Giuseppe Verdi;Dame Joan Sutherland;Marilyn Horne;Luciano Pavarotti;New York City Opera Orchestra;Richard Bonynge,classical,melancholic,0.26,85,0.14,0.27,0.97
6612,Aleluya,William Luna,classical,relaxed,0.57,97,0.71,0.72,0.6
6613,Don't Go Breaking My Heart,Elton John;Kiki Dee,classical,happy,0.84,131,0.78,0.73,0.15
6614,"La Bohème / Act 1: ""O soave fanciulla""",Giacomo Puccini;Anna Netrebko;Rolando Villazón;Boaz Daniel;Bavarian Radio Symphony Orchestra;Bertrand de Billy,classical,melancholic,0.11,71,0.04,0.14,0.95
6615,"The London Sketchbook, K. 15a-ss (arr. and/or orch. E. Smith) - Three Contredanses: in F, K.15h",Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields;Sir Neville Marriner,classical,chill,0.04,82,0.57,0.66,0.98
6616,Mala,Los Tecolines,classical,chill,0.49,108,0.56,0.67,0.9
6617,Cargando Con Mi Cruz,Cuco Sánchez,classical,chill,0.22,81,0.37,0.54,0.39
6618,Love Minus Zéro / No Limit,Nana Mouskouri,classical,chill,0.27,99,0.55,0.53,0.82
6619,Linda wawita,William Luna,classical,happy,0.74,97,0.96,0.61,0.19
6620,De Vez en Cuando,Duo Retama,classical,confident,0.86,99,0.73,0.52,0.47
6621,Norbourn,Little Symphony,classical,melancholic,0.16,113,0.08,0.19,0.9
6622,"Six German Dances, K.571: No. 5 in B flat",Wolfgang Amadeus Mozart;Sarband;Vladimir Ivanoff;Concerto Köln;Werner Ehrhardt,classical,chill,0.2,100,0.62,0.56,0.95
6623,Recitativo,Little Symphony,classical,melancholic,0.0,88,0.04,0.16,0.93
6624,Si Tú Me Amas,Il Divo,classical,sad,0.38,110,0.07,0.34,0.85
6625,Caledonia,Celtic Thunder,classical,chill,0.41,91,0.35,0.39,0.45
6626,"Goodnight Saigon - Live at Yankee Stadium, Bronx, NY - June 1990",Billy Joel,classical,moody,0.78,119,0.23,0.32,0.6
6627,La Vierge / Scene 4: The Assumption: Le dernier sommeil de la Vièrge (The Last Sleep of the Virgin),Jules Massenet;The New Symphony Orchestra Of London;Raymond Agoult,classical,melancholic,0.09,81,0.04,0.16,0.87
6628,Nocturnes op.4,Taichi Chishaki,classical,melancholic,0.04,139,0.1,0.58,0.99
6629,"12 German Dances, K. 586: No. 2 in G Major",Wolfgang Amadeus Mozart;Wiener Mozart Ensemble;Willi Boskovsky,classical,dreamy,0.12,153,0.81,0.46,0.92
6630,Adiós Pueblo De Ayacucho,Edwin Montoya,classical,relaxed,0.53,87,0.89,0.67,0.72
6631,"Divertimento No. 15 in B Flat Major, K.287: Variation V",Wolfgang Amadeus Mozart;Academy of St. Martin in the Fields Chamber Ensemble,classical,chill,0.01,60,0.44,0.57,0.93
6632,Internal Flight (Remastered),Estas Tonne,classical,moody,0.64,159,0.21,0.3,0.95
6633,Expreso Puquio,Manuelcha Prado,classical,chill,0.55,90,0.59,0.37,0.17
6634,Kanakadharashtavam - Ms Subbulakshmi,M. S. Subbulakshmi;Radha Viswanathan,classical,sad,0.33,125,0.32,0.57,0.97
6635,Down To The River To Pray,Celtic Thunder,classical,chill,0.37,136,0.52,0.64,0.8
6636,Just One Of Those Things,George Benson,classical,relaxed,0.58,133,0.74,0.61,0.51
6637,Amémonos,La Rondalla Tapatía,classical,chill,0.34,141,0.6,0.48,0.9
6638,"Military Marches, Op. 39 ""Pomp and Circumstance"": No. IV in G Major - 2013 Remaster",Edward Elgar;Royal Philharmonic Orchestra;Carl Davis,classical,chill,0.49,109,0.41,0.33,0.9
6639,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,classical,sad,0.53,136,0.34,0.6,0.43
6640,Angelina,Tommy Emmanuel,classical,sad,0.14,127,0.27,0.59,0.93
6641,Recuerdos de Julcán,Riber Oré,classical,sad,0.36,133,0.34,0.58,0.86
6642,Teir Abhaile Riu,Celtic Woman,classical,relaxed,0.46,124,0.71,0.53,0.82
6643,"Dorilla in Tempe, RV 709: Dell'aura al sussurrar",Antonio Vivaldi;Cecilia Bartoli;Arnold Schoenberg Chor;Il Giardino Armonico;Giovanni Antonini,classical,chill,0.18,119,0.7,0.52,0.97
6644,Just Look Up,Joe Satriani,classical,moody,0.62,88,0.36,0.62,0.16
6645,And I Love Her,Joseph Sullinger,classical,sad,0.13,113,0.29,0.64,0.99
6646,Sovereign Light Café,Keane,classical,focused,0.72,122,0.51,0.54,0.01
6647,It Must Have Been Love - Piano version,Mark Benson,classical,melancholic,0.06,118,0.15,0.55,0.99
6648,"9 Variations on a Minuet by J.P. Duport in D, K.573: 3. Variation II",Wolfgang Amadeus Mozart;Danielle Laval,classical,dreamy,0.18,142,0.85,0.28,0.97
6649,"Verdi: Nabucco, Act 3: ""Va, pensiero"" (Chorus of The Hebrew Slaves)",Giuseppe Verdi;Rizzi;Carlo Rizzi;Orchestra dell'Accademia Nazionale di Santa Cecilia,classical,melancholic,0.08,73,0.12,0.12,0.99
6650,Tu Solo Tu,Cuco Sánchez,classical,chill,0.19,141,0.4,0.48,0.9
6651,Lucia di Lammermoor - Scena della pazzia,Gaetano Donizetti;Vincenzo Ciliberti,classical,sad,0.4,100,0.04,0.22,0.99
6652,Hold Me Closer,Elton John;Britney Spears,classical,focused,0.75,126,0.49,0.67,0.07
6653,Hello Hello,Elton John,classical,chill,0.6,83,0.41,0.58,0.52
6654,Sirwana,Los Apus,classical,chill,0.59,89,0.67,0.59,0.69
6655,Beautiful Disaster,Jon McLaughlin,classical,moody,0.66,156,0.29,0.43,0.21
6656,Irresponsables,Cucuza Castiello,classical,chill,0.37,112,0.62,0.54,0.81
6657,Panorama ayacuchano,Manuelcha Prado,classical,sad,0.36,98,0.18,0.5,0.86
6658,Good Night My Angel,Giorgia Fumanti,classical,melancholic,0.23,83,0.07,0.3,0.98
6659,"Bui Doi (From ""Miss Saigon"")",Collabro,classical,melancholic,0.21,78,0.19,0.3,0.72
6660,Attila - Che più s'indugia,Giuseppe Verdi;Vincenzo Ciliberti,classical,melancholic,0.32,96,0.22,0.32,0.93
6661,Ganapathiye Varuvaai Revival,Sirkazhi Govindarajan,classical,happy,0.71,102,0.75,0.47,0.27
6662,Verdi: Aida: Prelude,Giuseppe Verdi;Riccardo Muti;New Philharmonia Orchestra,classical,melancholic,0.02,74,0.03,0.07,0.93
6663,"Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)",Ludwig van Beethoven;Luke Woodapple,classical,sad,0.2,178,0.34,0.22,0.99
6664,Nell'angolo,Helena Timmers,classical,sad,0.12,116,0.27,0.59,0.98
6665,Every Breath You Take,Tomas Lee,classical,melancholic,0.05,204,0.15,0.32,0.99
6666,"Ma che vi fece... Sperai vicino, K.368: 3. Recitativo - Andantino",Wolfgang Amadeus Mozart;Heinz Holliger;Academy of St. Martin in the Fields;Kenneth Sillito,classical,melancholic,0.09,61,0.09,0.21,0.97
6667,"Sonata for Piano and Violin in E flat, K.481: 3f. Variation 5",Wolfgang Amadeus Mozart;Arthur Grumiaux;Walter Klien,classical,dreamy,0.15,166,0.87,0.34,0.99
6668,No Me Quieras Tanto,Nana Mouskouri,classical,sad,0.44,178,0.33,0.46,0.88
6669,New Days (Sinking Soul),Mikis Theodorakis;Francesco Diaz,classical,sad,0.35,125,0.06,0.53,0.48
6670,"La clemenza di Tito, K.621 / Act 1: Marcia (II)",Wolfgang Amadeus Mozart;Staatskapelle Dresden;Karl Böhm,classical,chill,0.23,93,0.44,0.64,0.96
6671,Ombro,Teide,classical,melancholic,0.05,145,0.05,0.22,0.95
6672,"Be My Love (From ""The Toast of New Orleans"")",Mario Lanza,classical,sad,0.46,86,0.2,0.17,0.97
6673,"MFEO - Pt. 1: Made for Each Other, Pt. 2: You Can Breathe - 2015 Remastered",Jack's Mannequin,classical,angry,0.89,116,0.16,0.48,0.02
6674,"30,000 Feet",Ben Rector,classical,sad,0.45,179,0.32,0.56,0.69
6675,Cancion Del Amor En Zapatillas,Eduardo Falú,classical,chill,0.34,99,0.35,0.45,0.75
6676,Máscaras,El Cuervo de Poe,classical,confident,0.86,100,0.39,0.6,0.07
6677,Qualm,Ichika Nito,classical,sad,0.22,90,0.3,0.65,0.94
6678,Senthamizh Thaenmozhiyal,T. R. Mahalingam,classical,chill,0.36,82,0.6,0.41,0.99
6679,Amnesia,Gavin Mikhail,classical,sad,0.4,89,0.3,0.4,0.88
6680,Balderrama,Los Indios Tacunau,classical,chill,0.39,166,0.47,0.57,0.66
6681,Take Five,Dave Brubeck,classical,chill,0.22,168,0.62,0.46,0.55
6682,Tu Amor Ajeno,William Luna,classical,happy,0.65,95,0.74,0.68,0.72
6683,"Jeux d'enfants, Op. 22: V. The Ball",Georges Bizet;Barry Wordsworth;London Symphony Orchestra,classical,relaxed,0.49,97,0.7,0.58,0.96
6684,"Empty Chairs at Empty Tables (From ""Les Miserables"")",Collabro,classical,melancholic,0.13,172,0.09,0.26,0.89
6685,Torna a Surriento,Roberto Alagna;London Orchestra;Yvan Cassar;Avi Avital;Nemanja Radulović,classical,melancholic,0.31,80,0.19,0.2,0.95
6686,Un regalo que te dio la vida,Il Divo,classical,sad,0.46,144,0.22,0.38,0.79
6687,Nuestra Promesa,Dúo Hnos. Gaitán Castro,classical,happy,0.63,78,0.73,0.6,0.7
